character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,mapping_status,source
쓸,U+C4F8,0xa0f8,0x9aa0,2037,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
아,U+C544,0xa0f9,0x8fcb,2036,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
안,U+C548,0xa0fa,0x9c5c,2035,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
않,U+C54A,0xa0fb,0xe056,2034,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
았,U+C558,0xa0fc,0x88ae,2033,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
애,U+C560,0xa140,0x88ed,2032,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
액,U+C561,0xa141,0x8d47,2031,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
양,U+C591,0xa142,0x8dc6,2030,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
어,U+C5B4,0xa143,0x97ba,2029,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
얻,U+C5BB,0xa144,0x92df,2028,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
업,U+C5C5,0xa145,0x8f81,2027,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
없,U+C5C6,0xa146,0x8fc0,2026,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
었,U+C5C8,0xa147,0x8ce1,2025,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
에,U+C5D0,0xa148,0x89c3,2024,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
여,U+C5EC,0xa149,0x9456,2023,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
연,U+C5F0,0xa14a,0x9694,2022,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
열,U+C5F4,0xa14b,0x97b2,2021,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
예,U+C608,0xa14c,0x9099,2020,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
오,U+C624,0xa14d,0x89c0,2019,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
올,U+C62C,0xa14e,0x8fb9,2018,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
와,U+C640,0xa14f,0x8c9b,2017,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
완,U+C644,0xa150,0x984e,2016,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
요,U+C694,0xa151,0x964d,2015,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
용,U+C6A9,0xa152,0x8f73,2014,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
운,U+C6B4,0xa153,0x8a94,2013,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
움,U+C6C0,0xa154,0x89b5,2012,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
워,U+C6CC,0xa155,0x96c8,2011,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
원,U+C6D0,0xa156,0x97e6,2010,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
월,U+C6D4,0xa157,0x92cb,2009,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
위,U+C704,0xa158,0x8bb1,2008,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
유,U+C720,0xa159,0x93e7,2007,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
으,U+C73C,0xa15a,0x95e3,2006,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
은,U+C740,0xa15b,0x8de8,2005,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
을,U+C744,0xa15c,0x8a8b,2004,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
음,U+C74C,0xa15d,0x8c49,2003,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
의,U+C758,0xa15e,0x93a1,2002,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
이,U+C774,0xa15f,0x90c4,2001,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
익,U+C775,0xa160,0x89aa,2000,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
